Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Prevalence of substance use and associated risk factors among homeless youth in Iran: A cross-sectional study,"Khezri, M.; Mirzazadeh, A.; McFarland, W.; Iranpour, A.; Shahesmaeili, A.; Zarei, J.; Mousavian, G.; Mehmandoost, S.; Sharifi, H.","Background: Homeless youth are at increased risk of substance use and its consequences worldwide. Substance use among youth who are homeless has not been as well studied, particularly in developing country settings. We therefore aimed to assess the prevalence and correlates of substance use among homeless youth in Kerman, a city in southeast Iran. Methods: In a cross-sectional survey by convenience sampling, we recruited 202 homeless youth from September to December 2017. Data were collected in face-to-face interviews using a standardized questionnaire. Youth were eligible if they were 15–29 years old and homeless or unstably housed for at least one month during last year. Factors associated with substance use were characterized by multivariable logistic regression analysis. Results: In our survey, 50.0% (95% CI 43.0–56.9) of homeless youth reported substance use in the last month. The most common substances used were heroin (34.0%), alcohol (31.2% – illegal in Iran), and methamphetamine (24.0%). Substance use was associated with male sex (adjusted odds ratio [AOR] 6.57, 95% CI 2.72, 15.85), age 25–29 vs. 15–24 years (AOR 4.02, 95% CI 1.57, 10.29), current tobacco use (AOR 6.49, 95% CI 2.63, 16.00), and absolute homelessness vs. relative homelessness (AOR 7.75, 95% CI 2.90, 20.68). Conclusions: Findings highlight the need for prevention programs to reduce substance use-related harm among homeless youth, particularly among tobacco users and those completely homeless. Innovative strategies are needed reach the absolutely homeless and simultaneously address the substance use and competing social welfare needs of this vulnerable population. © 2020",2020,,Child. Youth Serv. Rev.,116,,,,10.1016/j.childyouth.2020.105070,,#1490,Khezri 2020,,
"“Having a Baby Can Wait”: Experiences of a Sexual and Reproductive Health Promotion Program in the Context of Homelessness among Asian American, Native Hawaiian, and Other Pacific Islander Youth Captured Through PhotoVoice","Aparicio, E.M.; Kachingwe, O.N.; Phillips, D.R.; Jasczynski, M.; Cabral, M.K.; Aden, F.; Parekh, E.; Espero, J.; Childers, C.","Nearly half of female youth experiencing homelessness (YEH) become pregnant due to myriad individual, family, community, and structural factors. In response, our team developed and tested Wahine (“woman”) Talk, a multilevel, trauma-informed sexual and reproductive health intervention created with and for female YEH aged 14 to 22. After Wahine Talk, youth were invited to participate in a participatory action PhotoVoice project regarding experiences of the program, waiting to start or expand their families, and homelessness. Photographs were taken and captioned by youth, and then further examined through Thematic Analysis. Final project themes include (a) Youth-Driven Birth Timing Decisions; (b) A Sense of Place: Finding Safe Spaces; and (c) Glimpsing Hope. Because YEH live under society’s radar, it is critical to understand their experiences from their own perspectives to improve interventions at multiple levels. Implications for meeting the needs of YEH in the areas of reproductive justice, financial stability, and affordable housing are discussed. © The Author(s) 2020.",2021,,Qual. Health Res.,31,2,228-240,,10.1177/1049732320964423,,#1493,Aparicio 2021,,
Interventions for youth homelessness: A systematic review of effectiveness studies,"Morton, M.H.; Kugley, S.; Epstein, R.; Farrell, A.","Objective: This systematic review synthesizes effectiveness evidence on interventions to prevent and address youth homelessness. It was conducted primarily for a United States policy and practice audience but involved an international synthesis of evidence. Method: We conducted an international search that included eleven major academic electronic databases, 13 additional relevant institutional web-based publication databases, and a professional outreach for published and unpublished studies of the effectiveness of programs and practices to prevent or address youth homelessness, in Organisation for Economic Co-operation and Development (OECD) countries. We searched databases for studies published or completed between January 1, 2008 and March 19, 2019, and we also reviewed earlier studies synthesized in a similar past systematic review that ended its search in 2008. The review included experimental and quasi-experimental evaluation studies of youth ages 13–25. We included studies that only used pre-post comparisons and denote lower rigor designs clearly in the synthesis. Results: The search identified 4,387 potentially relevant unique publications. After screening, 66 publications representing 53 unique studies of 54 different interventions remained and were included in this review. The vast majority (83%) of unique studies were conducted in the U.S. Of the 53 unique studies, 22 (42%) involved some type of randomized evaluation. Many studies involved low rigor designs with weak counterfactuals, small sample sizes, and short follow-up periods. Included studies evaluated a range of interventions, and we grouped these into seven broad categories. The largest evidence base on the effectiveness of interventions relates to counseling and treatment interventions to address mental health or health risk behaviors. Overall, these studies showed promising results, but few included long-term follow-up. A small number of studies demonstrated reductions in occurrence of youth homelessness and housing instability, including some intensive case management and support interventions without direct housing assistance components. The field lacks rigorous evaluative evidence of many of the program models on which communities and governments rely to address youth homelessness (for example, street outreach, transitional living programs, youth shelters, host homes, and rapid rehousing). Evaluative evidence is further lacking on how the effects of interventions vary by subpopulations disproportionately impacted by homelessness. Discussion and conclusion: Policy and community interventions to prevent and end youth homelessness require a robust evidence base to inform decision-making. This systematic review presents an important starting point to inform solutions across a range of intervention areas, and it reveals significant areas in which investments in research and evaluation are urgently needed. © 2020 The Authors",2020,,Child. Youth Serv. Rev.,116,,,,10.1016/j.childyouth.2020.105096,,#1497,Morton 2020,,
Les Cahiers d'Esther: Stories of my 14th birthday,"Sattouf, R.",,2020,,Ortho Mag.,26,150,30,,10.1016/S1262-4586(20)30041-8,,#1500,Sattouf 2020,,
Youth who sleep in motels: an acknowledged but unknown population of the hidden homeless,"Tsukerman, K.; Ruel, E.; Wright, E.R.; Lewinson, T.","There is not one unifying definition of youth homelessness in the U.S. Rather, youth who are homeless are included in three separate definitions. Youth who sleep in motels are included in these definitions depending on whether they are in school, their age, and how long they are able to stay. Motel residents are not counted in the annual Point in Time counts in most cities and are excluded from literature on youth who are homeless, leaving a dearth of information on their experiences. In addition, little is known about the needs of motel youth and how they might differ from youth staying in other temporary accommodations, especially those recognized by HUD. This paper takes a first step to assess if youth who experience homelessness in motels vary in any major ways from youth who reported a different sleeping location on the previous night in a 2015 survey of Atlanta homeless youth. Findings show statistically significant relationships between one’s sleeping location and income, substance use, contact with homeless service providers, and age. The results imply that there might be important differences between youth who reside in motels and those who reside in other locations while homeless. © 2021 Housing Education and Research Association.",2021,,Hous. Soc.,48,3,221-238,,10.1080/08882746.2020.1870361,,#1501,Tsukerman 2021,,
Childhood sexual abuse moderates the mediating pathways connecting cognitive distortions and suicidal ideation among homeless youth,"Zhang, J.; Wu, Q.; Slesnick, N.","Cognitive distortions are conceptualized as one of the most potent predictors of suicide. However, little is known about the mediating and moderating mechanisms linking cognitive distortions and suicidal ideation. The present study examined a prospective moderated mediation model linking cognitive distortions and suicidal ideation, with drug use, social problem-solving, and perceived burdensomeness as the mediators and childhood sexual abuse as the moderator. Participants included 150 homeless youth who participated in a randomized clinical trial for suicide intervention. Participants were assessed at baseline, 3, 6, and 9 months post-baseline. We analyzed the data using a multiple-group path model. Findings showed that social problem-solving and perceived burdensomeness sequentially mediated the association between cognitive distortions and suicidal ideation regardless of childhood sexual abuse, whereas drug use mediated the association between cognitive distortions and suicidal ideation only among youth reporting no history of sexual abuse. Findings highlight how coping processes, both adaptive and maladaptive, operate differently to predict suicidal ideation contingent on the effects of childhood sexual abuse in the context of cognitive distortions. Findings also underscore the importance of addressing the effects of childhood abuse to facilitate the efficiency of interventions that seek to reduce suicidal ideation among a vulnerable population. (PsycInfo Database Record (c) 2021 APA, all rights reserved).",2021,,Am J Orthopsychiatry,91,5,682-692,,10.1037/ort0000569,,#1502,Zhang 2021,,
Designing theoretically and evidence-based social procurement programmes in construction: A capability empowerment approach,"Bridgeman, J.; Loosemore, M.","Social procurement policies require companies to develop and implement initiatives to create social value, yet many programmes created in response to these emerging policies lack a reliable empirical and theoretical foundation. Addressing this problem and brining a new theoretically informed evidence-based approach to social procurement research in construction, this paper presents a theoretically informed and methodologically robust social return on investment (SROI) analysis of a construction training programme developed to reduce the risk of youth homelessness. Mobilising Sen and Nussbaum's Capability Empowerment Approach, the paper provides robust, testable and transparent evidence of the social impact of the programme on the lives of the homeless people who went through it. Robust theoretically informed social procurement initiatives are critically important in ensuring that social procurement policies have their intended social outcomes. © 2021 Proceedings of the 37th Annual ARCOM Conference, ARCOM 2021. All Rights Reserved.",2021,,"Proceedings of the 37th Annual ARCOM Conference, ARCOM 2021",,,168-177,,,,#1507,Bridgeman 2021,,
"QueerVIEW: Protocol for a technology-mediated qualitative photo elicitation study with sexual and gender minority youth in Ontario, Canada","Craig, S.L.; Eaton, A.D.; Pascoe, R.; Egag, E.; McInroy, L.B.; Fang, L.; Austin, A.; Dentato, M.P.","Background: The experiences of resilience and intersectionality in the lives of contemporary sexual and gender minority youth (SGMY) are important to explore. SGMY face unique experiences of discrimination in both online and offline environments, yet simultaneously build community and seek support in innovative ways. SGMY who identify as transgender, trans, or gender nonconforming and have experiences with child welfare, homelessness, or immigration have been particularly understudied. A qualitative exploration that leverages technology may derive new understanding of the negotiations of risk, resilience, and identity intersections that impact the well-being of vulnerable SGMY. Objective: The objectives of the QueerVIEW study were to (1) enhance understanding of SGMY identities, both online and offline, (2) identify experiences of intersectionality among culturally, regionally, and racially diverse SGMY in Ontario, Canada, (3) explore online and offline sources of resilience for SGMY, and (4) develop and apply a virtual photo elicitation methodological approach. Methods: This is the first study to pilot a completely virtual approach to a photo elicitation investigation with youth, including data collection, recruitment, interviewing, and analysis. Recruited through social media, SGMY completed a brief screening survey, submitted 10 to 15 digital photos, and then participated in an individual semistructured interview that focused on their photos and related life experiences. Online data collection methods were employed through encrypted online file transfer and secure online interviews. Data is being analyzed using a constructivist grounded theory approach, with six coders participating in structured online meetings that triangulated photo, video, and textual data. Results: Data collection with 30 participants has been completed and analyses are underway. SGMY expressed appreciation for the photo elicitation and online design of the study and many reported experiencing an emotional catharsis from participating in this process. It is anticipated that results will form a model of how participants work toward integrating their online and offline experiences and identities into developing a sense of themselves as resilient. Conclusions: This protocol presents an innovative, technology-enabled qualitative study that completely digitized a popular arts-based methodology-photo elicitation-that has potential utility for contemporary research with marginalized populations. The research design and triangulated analyses can generate more nuanced conceptualizations of SGMY identities and resilience than more traditional approaches. Considerations for conducting online research may be useful for other qualitative research. © 2020 JMIR Publications. All rights reserved.",2020,,JMIR Res. Prot.,9,11,,,10.2196/20547,,#1508,Craig 2020,,
Listening to formerly homeless youth,"Edwards, E.J.","More than 1.5 million students experienced homelessness in the 2017-18 school year, but teachers receive little guidance on how to support them. Earl Edwards provides K-12 (particularly high school) teachers with an overview of the McKinney-Vento Homeless Assistance Act and concrete recommendations for how to better support youth experiencing homelessness in their pursuit to graduate high school. The recommendations are derived from a study that analyzed the experiences of 10 youth who experienced homelessness as high school students in Los Angeles County. © 2020 by Phi Delta Kappa International.",2020,,Phi Delta Kappan,102,4,52-57,,10.1177/0031721720978069,,#1509,Edwards 2020,,
Transition-Aged Youth Who Are Homeless and Misuse Substances: A Qualitative Study of Service Needs,"DeHart, D.D.; Anderson, B.; Martin, J.","This study examined the service needs of transition-aged (16-25), homeless youth via group and individual interviews with 22 human service providers and a focus group of 17 transition-aged, homeless youth who were engaged in treatment for substance misuse. Qualitative analyses examined service needs, challenges in addressing these, and intersection with youths’ pathways into and out of homelessness. Findings have implications for enhanced networks among service providers to meet the multifaceted needs of this vulnerable population. Pathways into homelessness included unstable homes and involvement in carceral systems such as the foster care and juvenile legal system. Logistical needs of youth included housing, employment, education, transportation, legal aid, obtaining documents, and food security. Mental health needs include substance misuse treatment and recovery services, treatment for co-occurring mental illness and substance use disorders, trauma-informed approaches to care, services for LGBTQ + youth, and coping/life skills. Medical needs included those around sexual health and family planning, dental and vision care, primary care, immunizations, and chronic disease management. Recommendations are provided for research, practice, and policy concerning transition-aged, homeless youth who misuse substances; these include approaches at the individual and family level as well as those that address systemic barriers and structural vulnerability for youth. © 2021 Taylor & Francis Group, LLC.",2021,,J. Soc. Serv. Res.,47,6,872-885,,10.1080/01488376.2021.1941503,,#1511,DeHart 2021,,
Human Papillomavirus Vaccination Initiation and Completion among Youth Experiencing Homelessness in Seven U.S. Cities,"Gallardo, K.R.; Santa Maria, D.; Narendorf, S.; Markham, C.M.; Swartz, M.D.; Hsu, H.-T.; Barman-Adhikari, A.; Bender, K.; Shelton, J.; Ferguson, K.","Little is known about human papillomavirus (HPV) vaccination uptake among youth experiencing homelessness (YEH), who may be at higher risk for HPV than their housed counterparts. We examined the prevalence and associations of HPV vaccination initiation and completion among YEH. Guided by the Behavioral Model for Vulnerable Populations, we analyzed cross-sectional data collected from YEH (N = 1074; ages 18–26) in seven U.S. cities to assess HPV vaccination prevalence and to identify predisposing, enabling, and need factors associated with HPV vaccination status. Due to timing differences in the release of HPV vaccine recommendations, we conducted separate logistic regression analyses for men (n = 673) and women (n = 401). Approximately 19% of men and 37% of women had initiated and completed HPV vaccination. Several factors among men (i.e., older age, Latinx ethnicity, San Jose or St. Louis residence compared with New York City, never having had sex, and not previously being tested for STIs) and women (i.e., lower education level, San Jose or Houston residence compared with New York City, and never having had sex) were associated with lower odds of HPV vaccination initiation, completion, or both. Gay men had higher odds of initiating and completing the vaccination series than their heterosexual counterparts. Our findings reveal that HPV vaccination uptake is low among YEH and that there are vaccination disparities among subgroups of YEH. HPV vaccination strategies and resources that are easy-to-understand, facilitate point-of-care services, and address societal and system-level vaccination barriers encountered by YEH are needed. © 2020, Society for Prevention Research.",2020,,Prev. Sci.,21,7,937-948,,10.1007/s11121-020-01131-5,,#1514,Gallardo 2020,,
Mental Health Among Children Older than 10 Years Exposed to the Haiti 2010 Earthquake: a Critical Review,"Blanc, J.; Eugene, D.; Louis, E.F.; Cadichon, J.M.; Joseph, J.; Pierre, A.; Laine, R.; Alexandre, M.; Huang, K.-Y.","Purpose of Review: There is evidence that the exposure to a major natural disaster such as the 2010 earthquake in Haiti may have devastating short- and long-term effects on children’s mental health and overall development. This review summarizes what has been reported in the past 3 years (2017–2020) regarding emotional, psychological, and behavioral effects of exposure to this particular earthquake on children 10 years and older. Recent Findings: Twenty-six articles were screened, of which twenty-one were selected for final analysis. The main themes addressed in the literature over the 3 years concerned prevalence of post-traumatic stress disorder (PTSD), depression, determinants of resilience factors, prevalence of sexual violence as well as prenatal exposure, and subsequent autism behaviors/symptoms. Summary: The majority of the findings analyzed in this review on mental health in young Haitian survivors of the 2010 earthquake came from cross-sectional studies conducted in West region of Haiti, spefically Port-au-Prince. There was a paucity of longitudinal and translational data available. The results of this critical review can be used to inform disaster preparedness programs with the aim of protecting children’s development and mental health, which are much needed on this disaster-prone island. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",2020,,Curr. Psychiatry Rep.,22,11,,,10.1007/s11920-020-01178-9,,#1516,Blanc 2020,,
Acceptability of a just-in-time adaptive intervention for hiv prevention among youth experiencing homelessness: A qualitative analysis,"Acorda, D.E.; Jones, J.T.; Maria, D.S.","Background. Few interventions leverage technology to mitigate HIV risks in youth experiencing homelessness (YEH). This study assesses the acceptability and impacts of an app-based just-in-time adaptive intervention for HIV prevention from the YEH perspective. Methods. Sixteen interviews were conducted with YEH in a large, urban Southwest city. Inductive thematic analysis was used to explore YEH experience with the app, including recommendations for improvement and perceived impact. Results. Youth experiencing homelessness reported high acceptance of the app. Several youths described changing risk behaviors after enrolling in the study. Youth found the app easy to navigate and the goal interface helpful in tracking progress. Challenges included stolen phones and survey timing. Youth experiencing homelessness strongly recommended customized messages and questions to avoid redundancy, and that real-time support for struggling youth be accessible through the app. Conclusion. A just-in-time adaptive intervention for HIV prevention is acceptable to YEH. Larger studies are needed to evaluate long-term impacts on HIV risk behavior. © Meharry Medical College.",2021,,J. Health Care Poor Underserved,32,2,25-42,,10.1353/hpu.2021.0049,,#1517,Acorda 2021,,
"Pathways through homelessness: the perceptions of homeless children in Pietermaritzburg, South Africa","Wilshire Jones Bornman, A.; Mitchell, C.J.","Purpose: The purpose of this study was to explore children’s pathways through homelessness within the South African context, with particular attention paid to pathways out of homelessness. This study focusses on factors influencing children’s successful transitions out of homelessness. Design/methodology/approach: A qualitative exploratory design was used, using interviews with nine children who had exited or were in the process of exiting homelessness. Interviews were conducted at a children’s shelter in Pietermaritzburg or in the children’s home environments. Interviews were analysed thematically. Findings: An ecological framework was used to frame the factors influencing children’s pathways in, through and out of homelessness in the children’s narratives. These included institutions, relationships and intrapersonal strengths and resources. The study suggested that constructive relationships with shelter staff and parental figures, as well as intrapersonal strengths, were the most prominent factors in children successfully negotiating their way through their homelessness. The importance of a relationship with the paternal family within some African cultures was also a point of leverage. Research limitations/implications: Implications for policy and practise include the need for systemic change, as well as greater support for shelters and shelter staff. The issue of rivalry in the shelter context and the role of the paternal family in the reintegration process require more research attention. The research is limited to homeless children in Pietermaritzburg, South Africa. Practical implications: This study provided feedback to the shelter regarding their strategies for assisting homeless children off the streets. It further provided evidence for the importance of the work of the shelter, to strengthen advocacy efforts. This may be useful to others in similar circumstances. Social implications: This study highlights the importance of macrosystemic interventions in the efforts to assist homeless children, while at the same time not ignoring the inter and intra, personal elements to enhancing their well-being. Originality/value: This paper is singular in its exploration of factors influencing children’s successful transitions out of homelessness within the South African context. © 2020, Emerald Publishing Limited.",2020,,J. Child. Serv.,15,3,141-160,,10.1108/JCS-01-2018-0002,,#1520,WilshireJonesBornman 2020,,
Perceptions of young adults’ problematic technology use among australian youth professionals,"Keen, B.; Gainsbury, S.M.","The effects of excessive and problematic technology use on young people’s mental health has not been explored from the perspective of those who work closely with youth in a professional capacity. This study reports on findings from focus group interviews with 22 professionals in the fields of education, counselling and mental health, community and housing, social work, and drug and alcohol services. Most problems participants observed related to video gaming (predominantly amongst men) and social media use (predominantly amongst women). Participants perceived most harms to be related to social or psychological difficulties such as relationship breakdowns, isolation, low self-confidence, depressive symptoms, and unrealistic expectations of success. More tangible harms relating to homelessness, physical fighting resulting from online exclusion, and sleep disturbances leading to absence from school and work commitments were also reported, albeit less frequently. The relationship between technology use and poor psychosocial outcomes was conceptualised as being complex and often cyclic in nature, whereby disadvantage and family dynamics were often predictive of problems. Most services did not formally screen for technology-related problems, however many were interested in upskilling by way of training, awareness, and implementation of screening measures and formal referral procedures. This research suggests that young people are presenting with technology-related problems but that more needs to be done to provide youth services and organisations with adequate support to identify and assist with these issues. © 2007-2021 Cyberpsychology: Journal of Psychosocial Research on Cyberspace.",2021,,Cyberpsychology,15,1,1,,10.5817/CP2021-1-8,,#1522,Keen 2021,,
Substance Use and Treatment Among Youth Experiencing Homelessness: 1992–2017,"Green, B.; Lee Kim, F.; Dean, D.","Purpose: This study aimed to describe the patterns in substance use and treatment utilization from admissions to publicly funded treatment programs among youth (aged 12–24 years) experiencing homelessness between the years of 1992 and 2017. Methods: We used the concatenated Substance Abuse and Mental Health Services Administration Treatment Episode Data Set Admissions (total youth admissions, n = 5,153,775; and youth reported being homeless at the time of admission, n = 241,310). Prevalence estimates and binary logistic regression models were used to estimate the odds ratios to identify the differences among youth who reported being homeless or housed at the time of the treatment. Results: Homeless youth had higher odds than housed youth to self-refer for treatment; to enroll in treatment for cocaine/crack, heroin, or methamphetamine; and to receive treatment in 24-hour detoxication facilities or long-term residential facilities. Additional differences were identified among youth aged 12–17 years and youth aged 18–24 years and by sex within the homeless youth population. Conclusions: This analysis provides a picture of treatment utilization patterns by youth who are experiencing homelessness and substance use disorder, by exploring differences by housing status among admissions to publicly funded treatment facilities. © 2020 Society for Adolescent Health and Medicine",2020,,J. Adolesc. Health,67,6,786-792,,10.1016/j.jadohealth.2020.04.019,,#1523,Green 2020,,
Outcomes for Youth Living in Canada’s First LGBTQ2S Transitional Housing Program,"Abramovich, A.; Kimura, L.","This article offers descriptive and evaluative data for the first cohort of youth who lived in Canada’s first transitional housing program for LGBTQ2S youth, operated by the YMCA of Greater Toronto. The purpose of this mixed-methods study was to report on how youth experienced living in an LGBTQ2S population-based housing program in relation to mental health, self-esteem, community participation and family connectedness, and how access to culturally competent services impact experiences of homelessness. The outcomes of this study are important for service providers, program managers, and policymakers to review in order to better understand how LGBTQ2S youth experience population-based housing programs and whether or not they positively impact their transition to adulthood. Although this study took place in Toronto, Canada, it has broader relevance nationally and internationally, and can be used to build the evidence base to guide the improvement, development, and evaluation of future LGBTQ2S housing services for youth. © 2019 Taylor & Francis Group, LLC.",2021,,J. Homosex.,68,8,1242-1259,,10.1080/00918369.2019.1696102,,#1527,Abramovich 2021,,
The prevalence and correlates of labor and sex trafficking in a community sample of youth experiencing homelessness in metro-Atlanta,"Wright, E.R.; Laboy, A.; Tsukerman, K.; Forge, N.; Ruel, E.; Shelby, R.; Higbee, M.; Webb, Z.; Turner-Harper, M.; Darkwa, A.; Wallace, C.","Research suggests that runaway and homeless youth (RHY) in the United States are vulnerable to sex and labor trafficking. In this paper, we report and analyze estimates of sex and labor trafficking collected as part of the Atlanta Youth Count 2018, a community-based field survey of RHY between the ages of 14 and 25 in the metro-Atlanta area. A total of 564 participants were recruited and completed a survey that included questions about their backgrounds as well as the Human Trafficking Screening Tool (HTST). We found that 39.9% experienced some form of trafficking while homeless. While 15.6% of the youth reported commercial sexual exploitation while homeless, coerced labor (29.3%) or fraud (25.2%) were even more common experiences. Women, transgender, and gender nonconforming youth, as well young people who had prior system involvement and those who had been homeless for more than a year were the most likely to report having been trafficked. The significance of these findings for research and policy on RHY and trafficking are discussed. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,,Soc. Sci.,10,2,16-Jan,,10.3390/socsci10020032,,#1533,Wright 2021,,
Adolescent suicide as a global public health issue,"Abraham, Z.K.; Sher, L.","Youth suicide is a major global mental health problem. This review looks at the epidemiology, risk and protective factors associated with youth suicide, and global strategies to address this important issue. To better understand factors contributing to youth suicide, global gender differences in suicide were examined. Global rates of suicide amongst young men are higher than young women. However, there are anomalously higher rates of female youth suicide in India and China, and possible causes of this are examined further. It is likely that underestimation of youth suicide is a major factor affecting the accuracy of suicide epidemiology. Risk factors for youth suicide are varied. Psychiatric factors include various psychiatric illnesses, substance use (particularly amongst refugee and homeless youth). Psychosocial risk factors include family conflict, physical and sexual childhood abuse, isolation, socioeconomic disadvantage, discrimination and acculturation. Vulnerable populations are at increased risk, including refugee/immigrant/indigenous youth, those in foster care and homeless youth. Protective factors can include family cohesion and strong interpersonal relationships, as well as increased access to care. Global strategies to prevent youth suicide include reducing lethal means to suicide and reducing harmful media reporting. Various psychosocial interventions may be helpful, including individual support, and family, school and community based interventions. Strategies can also increase evaluation of psychiatric disorders and access to care, as well as promote psycho-education and reduce stigma against mental illness. © 2019 Walter de Gruyter GmbH, Berlin/Boston.",2021,,Int. J. Adolesc. Med. Health,31,4,,,10.1515/ijamh-2017-0036,,#1534,Abraham 2021,,
Transgender and Gender-Expansive Homeless Youth: Considerations for Empowerment Using a Narrative Approach,"Peters, S.W.","Transgender and gender-expansive homeless youth face challenges. These often begin at home where they receive messages that something is wrong with them, frequently continuing at school and for some, the child welfare system. This population may become marginalized and feel the need to leave home. Becoming homeless can reinforce those messages leading to more negative life stories, possibly resulting in devaluation and further vulnerability. Aspects of narrative therapy may challenge those stories allowing space for preferred, empowering narratives that may help bring about change in themselves and their future. © 2021 Taylor & Francis Group, LLC.",2021,,J. LGBTQ Issues Couns.,15,4,426-442,,10.1080/15538605.2021.1967253,,#1535,Peters 2021,,
Practices effective for assisting young people avoid or exit homelessness: Young service recipient's perspectives,"Keevers, L.; Rambaldini-Gooding, D.","In youth homelessness policy, outcomes-based performance management and evidence-based practice predominate. Despite policymakers articulating a need to improve the evidence base to inform service provision for young people vulnerable to homelessness, there are limited evidence-based studies investigating the effectiveness of different service models. Additionally, the voices of homeless young people are often absent or unheard in policy discussions and program development. Underpinned by a practice-based approach and gathering both quantitative and qualitative data, this study investigates the perspectives and experiences of young people involved with an Australian social justice organisation and identifies the practices that they perceive as having the most significant positive impacts on their lives. The views of young people challenge government policy settings which this study suggests do not give sufficient weight to key indicators such as a sense of belonging, control over one's life and hope for the future or to relationships embedded in long-term, holistic, integrated care. In order to improve policy and practice, it's critical that the voices and knowledge of young people with lived experience are heard by decision and policymakers. © 2020 Elsevier Ltd",2020,,Child. Youth Serv. Rev.,119,,,,10.1016/j.childyouth.2020.105492,,#1536,Keevers 2020,,
Promoting Personal Growth in Young People Experiencing Homelessness through an Outdoors-Based Program,"Parry, B.J.; Thompson, J.L.; Holland, M.J.G.; Cumming, J.","Outdoors-based youth development programs demonstrate the efficacy to improve indicators of personal growth and mental health in a range of disadvantaged young people. However, the most marginalized young people in society, who stand to benefit the most from such initiatives, remain underrepresented in the research. My Strengths Training for Life (MST4Life) is a positive youth development (PYD) intervention for young people experiencing homelessness that incorporates a life skills program and an outdoor adventure education (OAE) course. The current study presents a qualitative investigation of the OAE course to understand its role in promoting positive changes for participants. Reflexive thematic analysis led to the development of inductively driven themes which were conceptualized based on relevant theories (e.g., relational developmental systems) and models (e.g., 5 Cs of PYD). Findings highlight the benefits of a preceding life skills program to psychologically prepare participants to thrive in the unfamiliar setting of the outdoors and related challenges. During the course, adaptive developmental regulations supported participants' basic psychological needs and fostered personal growth. Improvements in social competence was a common theme across participants and played a pivotal role in facilitating balanced development across the 5 Cs. In addition, experiences during the course promoted indicators of mental health and intentions to make positive lifestyle changes. Implications of these findings are discussed in relation to making outdoors-based youth development courses more accessible for marginalized young people, as well as how OAE and PYD programs can add value to the youth homeless sector. © 2021 University Library System, University of Pittsburgh. All rights reserved.",2021,,J. Youth Dev.,16,5,157-192,,10.5195/jyd.2021.1061,,#1539,Parry 2021,,
Mindfulness-based intervention to decrease mood lability in at-risk youth: Preliminary evidence for changes in resting state functional connectivity,"Hafeman, D.M.; Ostroff, A.N.; Feldman, J.; Hickey, M.B.; Phillips, M.L.; Creswell, D.; Birmaher, B.; Goldstein, T.R.","Background: In youth at familial risk for bipolar disorder (BD), mood lability is an important precursor to BD onset. Previous work in adults indicates that mindfulness-based interventions (MBI) may improve emotion regulation, in part by increasing resting-state functional connectivity (rsFC) between posterior cingulate cortex (PCC) and executive control network (ECN). In this pilot study, we assessed effects of an MBI on PCC-ECN rsFC and mood lability in at-risk youth. Methods: We recruited 35 youth (10–14 years old) with a first-degree family history of BD and mood lability, and 21 age-matched healthy controls. Eligible at-risk youth were scanned pre/post an 8-week MBI and assessed three months later. Healthy controls were scanned at matched timepoints but did not participate in the MBI. The MBI used age-appropriate strategies to promote non-judgmental, present-moment awareness. We assessed pre/post changes in PCC-ECN rsFC and how rsFC changes were related to mood outcomes. Results: Twenty at-risk youth were scanned pre/post MBI; 16 had high-quality rsFC data. Following MBI, at-risk youth showed increased rsFC between PCC and left dorsolateral prefrontal cortex (DLPFC) (BA 9; k = 28; corrected p=.006); healthy controls did not show this increase. Following MBI, at-risk youth reported more mindfulness (F = 7.15, p=.003), less mood lability (F = 7.2, p=.002), and less suppression of negative emotions (F = 5.05, p=.01). PCC-DLPFC rsFC increases predicted less mood lability (t=−2.25, p=.04) and less emotion suppression (t=−2.75, p=.02) at follow-up. Limitations: Small sample and lack of a control intervention. Conclusions: PCC-DLPFC rsFC may be a clinically meaningful neural target of an MBI in at-risk youth, related to improvements in mood lability. © 2020",2020,,J. Affective Disord.,276,,23-29,,10.1016/j.jad.2020.06.042,,#1540,Hafeman 2020,,
